rank,records,scientific_name,common_name,in_label_space,toxicity,genus,dangerous_already_in_genus,confusion_note,REVIEW_verdict,REVIEW_notes,REVIEWER
269,1576,Tricholoma ustale,Burnt Knight,yes,TOXIC,Tricholoma,Tricholoma equestre; Tricholoma pardinum; Tricholoma terreum,,,,
270,1568,Galerina marginata,Funeral Bell,yes,DEADLY,Galerina,Galerina marginata,,,,
271,1562,Neobulgaria pura,,no,,Neobulgaria,,,,,
272,1558,Clitocybe vibecina,Mealy Funnel,yes,TOXIC,Clitocybe,Clitocybe dealbata; Clitocybe rivulosa,,,,
273,1555,Russula foetens,,no,,Russula,,,,,
274,1535,Dermoloma cuneifolium,,no,,Dermoloma,,,,,
275,1532,Clavaria fragilis,,no,,Clavaria,,,,,
276,1515,Tricholoma saponaceum,Soapy Knight,yes,TOXIC,Tricholoma,Tricholoma equestre; Tricholoma pardinum; Tricholoma terreum,,,,
277,1513,Agaricus xanthodermus,Yellow Stainer,yes,TOXIC,Agaricus,,,,,
278,1472,Clavulinopsis fusiformis,,no,,Clavulinopsis,,,,,
279,1472,Galerina hypnorum,Moss Bell,yes,TOXIC,Galerina,Galerina marginata,,,,
280,1471,Suillus variegatus,,no,,Suillus,,,,,
281,1467,Clavulinopsis luteoalba,,no,,Clavulinopsis,,,,,
282,1460,Hebeloma sacchariolens,,no,,Hebeloma,,,,,
283,1453,Entoloma sericellum,Cream Pinkgill,yes,NO_RECORDED_TOXICITY,Entoloma,Entoloma rhodopolium; Entoloma sinuatum,,,,
284,1445,Lichenomphalia ericetorum,,no,,Lichenomphalia,,,,,
285,1442,Pleurotus cornucopiae,,no,,Pleurotus,,,,,
286,1440,Lactarius deterrimus,,no,,Lactarius,,,,,
287,1408,Cortinarius anomalus,Variable Webcap,yes,NO_RECORDED_TOXICITY,Cortinarius,Cortinarius orellanus; Cortinarius rubellus,,,,
288,1408,Gymnopus erythropus,,no,,Gymnopus,,,,,
289,1400,Bovista plumbea,,no,,Bovista,,,,,
290,1395,Mycena metata,,no,,Mycena,,,,,
291,1392,Parasola conopila,,no,,Parasola,,,,,
292,1392,Peniophora cinerea,,no,,Peniophora,,,,,
293,1382,Rugosomyces carneus,,no,,Rugosomyces,,,,,
294,1378,Xerocomellus cisalpinus,,no,,Xerocomellus,,,,,
295,1357,Cylindrobasidium laeve,,no,,Cylindrobasidium,,,,,
296,1353,Mycena pelianthina,,no,,Mycena,,,,,
297,1347,Geastrum triplex sensu auct.,,no,,Geastrum,,,,,
298,1341,Geoglossum fallax,,no,,Geoglossum,,,,,
299,1336,Cordyceps militaris,,no,,Cordyceps,,,,,
300,1331,Hygrocybe acutoconica,,no,,Hygrocybe,,,,,
